Zone,PUE_mid,Midpoint_percentile,PUE_P05,PUE_P50,PUE_P95,Samples_std
1A,1.2972332259314492,42.0,1.1979119258267736,1.312413068129007,1.4387607675516882,0.07457842573772776
2A,1.2805716020996565,40.0,1.184445207947099,1.2991243477733534,1.4007156890861585,0.0689012140231776
2B,1.249250927326024,38.0,1.1528575822484317,1.2744991063440165,1.3430595969857777,0.061749501001095504
3A,1.264280129687629,36.0,1.1720979605817157,1.2801456650355014,1.366686629098161,0.06446835397968793
3B,1.2446069784172864,38.0,1.1453487586232323,1.2762445199397763,1.3384602194767525,0.06024789380216839
3C,1.2397832663918977,38.0,1.1383905224007835,1.2660856573635026,1.324054808299011,0.059184972489354934
4A,1.2505033319897039,38.0,1.1537784818392751,1.2751764670315615,1.3440729277229009,0.06098893972510778
4B,1.2486563299347628,38.0,1.145702285010183,1.2763203999338182,1.3360619060823755,0.0596728624039219
4C,1.2403625914376835,38.0,1.138417020247524,1.2667635036118532,1.324793869615785,0.05920553608303604
5A,1.2458617499926172,38.0,1.1479876078316165,1.2741200756339652,1.3386715610159017,0.06016618183960286
5B,1.2467752234136165,38.0,1.1435968965597105,1.2743955128432427,1.3334454331163275,0.05955833341171739
5C,1.2396382258218972,38.0,1.1364031718478347,1.265163660946326,1.3238560867346663,0.05913622891398484
6A,1.2432706105921192,38.0,1.144341553268544,1.2732253196695802,1.3320857659976673,0.05966397882289234
6B,1.2491043665527335,40.0,1.1461179695656623,1.2766965983757201,1.336623556066053,0.05969775173131353
7,1.246080580406361,38.0,1.1432642336089105,1.2733657708604342,1.3324971361177125,0.059476265910177815
