zone,sample,lat,lon
1A,center,26.358680502651247,-97.87375159643761
1A,rand1,25.330328363120092,-80.82629587775642
1A,rand2,26.080468326262537,-80.22657897691786
1A,rand3,26.626325318143678,-80.56893944531865
1A,rand4,26.2800457883516,-98.3801989009085
2A,center,29.400322,-96.75286680457583
2A,rand1,30.41231606996155,-94.08212570018681
2A,rand2,28.929546802363756,-97.046868064804
2A,rand3,27.69717232756812,-82.45350911707808
2A,rand4,32.06306982426883,-81.75133881421982
2B,center,32.8526215,-113.27279412943344
2B,rand1,33.3294605911458,-111.51343748133195
2B,rand2,33.585050789441524,-112.13921373646706
2B,rand3,31.75304517825847,-111.9821781279052
2B,rand4,27.33222352307833,-99.05315766731611
3A,center,33.508517,-89.00515143164692
3A,rand1,32.274550340483486,-90.11937050252084
3A,rand2,33.097479625012795,-95.3323391545936
3A,rand3,31.817147883131046,-89.64668786471297
3A,rand4,36.694167054657505,-76.21954470588224
3B,center,32.5269815,-103.50991772727227
3B,rand1,31.011412589544634,-102.5718840016331
3B,rand2,31.986385074464025,-101.56740309807185
3B,rand3,33.81140870551535,-117.30426928247373
3B,rand4,32.6426169683995,-106.84675543711946
3C,center,35.992357999999996,-120.98728540577919
3C,rand1,38.3179536109899,-122.32045861841202
3C,rand2,34.59714332773445,-120.15602384495266
3C,rand3,35.00695637255966,-120.60555635444558
3C,rand4,34.99318903091334,-120.59005283395015
4,center,36.632608000000005,-82.13069819740498
4,rand1,36.595359895756246,-82.18322142870929
4,rand2,36.60509850376918,-82.22255235542673
4,rand3,36.60306009581526,-82.20828315642662
4,rand4,36.61662187308062,-82.12933527312299
4A,center,38.1708055,-91.20302616307305
4A,rand1,40.46427183994789,-75.71529688213431
4A,rand2,36.934062825609836,-88.1488067700287
4A,rand3,37.5368081226595,-82.67931394948698
4A,rand4,37.75934540483673,-98.77213261660323
4B,center,35.092044,-102.91511913728512
4B,rand1,37.33854464868935,-114.52418979964747
4B,rand2,38.593809531407274,-117.60640747097816
4B,rand3,34.99899344103865,-107.93225553984955
4B,rand4,34.715292263639626,-106.62076370975115
4C,center,44.5475895,-122.9474155736836
4C,rand1,43.67732340923256,-123.38919141433533
4C,rand2,42.66254937135333,-123.02070905797186
4C,rand3,43.785818635340554,-124.10939880242995
4C,rand4,44.93338885764682,-123.42217426653878
5A,center,41.17887063558215,-88.98559598515362
5A,rand1,40.967947038912925,-89.38332104025469
5A,rand2,39.92321623475224,-81.71142744760016
5A,rand3,40.38167423309859,-101.15960232680166
5A,rand4,42.52285559867173,-76.1245580937679
5B,center,41.23272899999999,-117.0624140597901
5B,rand1,36.96302803611971,-109.13664833304513
5B,rand2,40.852045583264086,-118.4123284900872
5B,rand3,44.28651728888923,-119.50488286467032
5B,rand4,48.34811570061002,-119.90691395924058
5C,center,48.1378205,-124.10426020158451
5C,rand1,48.253079265577654,-122.59311049533186
5C,rand2,48.15593494743331,-123.75066117646702
5C,rand3,48.29482305180303,-124.66099759804922
5C,rand4,48.04371227396168,-124.40117919809627
6A,center,45.775341499999996,-98.59242126992896
6A,rand1,44.15959580796524,-102.19174572657681
6A,rand2,43.78300411612914,-96.20344987055634
6A,rand3,44.15975688058472,-75.8101359617209
6A,rand4,45.314888734460474,-103.33842680265576
6B,center,44.224678999999995,-107.08875116872312
6B,rand1,46.37422556838745,-109.64852749125284
6B,rand2,46.0499853951555,-109.62270466148227
6B,rand3,38.8223801047651,-119.74580445965569
6B,rand4,46.20207765482856,-108.85774474500276
7,center,47.5280366147645,-93.88604919048876
7,rand1,37.70034336896591,-106.37412602348762
7,rand2,47.94916130094167,-96.31698950692204
7,rand3,40.04978173305016,-107.02566568849417
7,rand4,46.53254792526328,-87.84979154429804
