system,zone,avg_pue,n_rows
AE,1A,1.2951070232476982,8760
AE,2A,1.2656965508190743,8760
AE,2B,1.2604549563873286,8760
AE,3A,1.2391138046155905,8760
AE,3B,1.2357382157869536,8760
AE,3C,1.1890974415893059,8760
AE,4A,1.203854126780236,8760
AE,4B,1.1967703864474672,8760
AE,4C,1.1622676882557637,8760
AE,5A,1.1847396824509362,8760
AE,5B,1.1744497444186859,8760
AE,5C,1.1402280713645327,8760
AE,6A,1.175369786952906,8760
AE,6B,1.1535655554696769,8760
AE,7,1.153526323147449,8760
WEC,1A,1.1877841968265617,8760
WEC,2A,1.1725248971783946,8760
WEC,2B,1.1440319596529755,8760
WEC,3A,1.1575442454839653,8760
WEC,3B,1.1391072314030226,8760
WEC,3C,1.1346469140148379,8760
WEC,4A,1.1448022026257156,8760
WEC,4B,1.142729947073804,8760
WEC,4C,1.135180182107517,8760
WEC,5A,1.1404293214959633,8760
WEC,5B,1.141014487493643,8760
WEC,5C,1.1345098454987357,8760
WEC,6A,1.1379323422642507,8760
WEC,6B,1.143141336141735,8760
WEC,7,1.140384507297183,8760
